               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097337,            0.067401,            0.064806,           0.0048455,             0.18901,             0.00539,           0.0013423,            0.086679,            0.046684,            0.062972,            0.070128,           0.0033191,           0.0033191
                   1,            0.077048,            0.056029,            0.061945,             0.15707,              0.3515,             0.07936,            0.030564,            0.060736,            0.030578,            0.061041,            0.040062,           0.0065866,           0.0065866
                   2,            0.059461,            0.047948,            0.060695,             0.18283,             0.34169,             0.14567,            0.069533,            0.064034,            0.027745,            0.060563,           0.0099305,            0.009788,            0.009788
                   3,             0.05278,            0.044558,            0.059358,             0.26068,             0.35495,             0.21547,            0.088102,            0.050209,             0.02581,            0.057626,            0.009703,            0.009703,            0.009703
                   4,            0.048024,            0.042052,            0.056417,             0.34086,             0.48667,             0.29068,              0.1478,            0.044123,            0.023681,            0.051368,            0.009703,            0.009703,            0.009703
                   5,             0.04638,             0.04059,            0.051921,             0.59898,             0.49606,              0.5078,             0.25676,            0.041833,            0.023158,             0.04377,            0.009604,            0.009604,            0.009604
                   6,            0.044578,            0.039975,            0.046846,             0.77865,             0.52574,             0.62332,             0.28811,            0.041903,            0.022675,            0.037667,            0.009505,            0.009505,            0.009505
                   7,            0.044124,            0.039325,            0.041576,             0.83424,             0.59449,             0.65718,             0.35849,            0.039715,             0.02279,            0.030523,            0.009406,            0.009406,            0.009406
                   8,            0.043294,            0.039122,            0.035871,             0.86721,             0.64223,             0.67525,             0.37385,            0.040913,            0.022479,             0.02257,            0.009307,            0.009307,            0.009307
                   9,            0.042605,            0.037819,             0.03115,             0.93417,                0.69,             0.73534,              0.3956,            0.039745,            0.022289,            0.018343,            0.009208,            0.009208,            0.009208
                  10,            0.042492,            0.038061,            0.028006,             0.89599,             0.69778,             0.69687,              0.3788,             0.04003,            0.022018,            0.014274,            0.009109,            0.009109,            0.009109
                  11,             0.04124,            0.037859,             0.02564,             0.89335,             0.70487,              0.6893,             0.38412,            0.039821,            0.021943,            0.011874,             0.00901,             0.00901,             0.00901
                  12,              0.0402,            0.036861,            0.023896,             0.93398,             0.74639,             0.75772,             0.42545,            0.037782,            0.021674,            0.010473,            0.008911,            0.008911,            0.008911
                  13,            0.039523,            0.036492,            0.022777,             0.92581,             0.74891,              0.7547,             0.43046,            0.036957,            0.021488,             0.01065,            0.008812,            0.008812,            0.008812
                  14,            0.039452,            0.036252,            0.022422,             0.92046,             0.74426,             0.73075,             0.41991,            0.037418,            0.021458,           0.0095694,            0.008713,            0.008713,            0.008713
                  15,            0.038795,            0.036214,            0.021124,             0.92468,             0.74986,             0.73123,               0.431,            0.036344,            0.021076,           0.0090547,            0.008614,            0.008614,            0.008614
