               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10108,            0.065929,            0.065957,          0.00022048,           0.0086156,          0.00011886,          2.3388e-05,            0.093971,             0.05168,            0.066177,            0.070086,           0.0033238,           0.0033238
                   1,            0.086602,            0.061939,            0.063046,             0.15162,             0.34355,            0.069964,            0.025272,            0.069651,            0.038111,            0.061136,            0.039822,           0.0063935,           0.0063935
                   2,            0.062711,            0.050301,            0.060772,             0.22776,             0.36028,             0.14536,            0.063219,            0.051975,            0.027489,            0.059672,           0.0092945,           0.0091992,           0.0091992
                   3,            0.053321,             0.04577,            0.058731,              0.5076,             0.33634,              0.3225,             0.15067,            0.046962,            0.025478,            0.054653,            0.008812,            0.008812,            0.008812
                   4,            0.048983,            0.042574,            0.053428,             0.59492,             0.52342,             0.51902,              0.2418,            0.043959,            0.023957,            0.045664,            0.008812,            0.008812,            0.008812
                   5,            0.046573,            0.040785,            0.046821,             0.77014,             0.53769,             0.56429,             0.29879,            0.043487,            0.024079,            0.037448,            0.008416,            0.008416,            0.008416
                   6,            0.044863,              0.0397,            0.040285,             0.86765,             0.59931,             0.65147,             0.34788,            0.042672,            0.022858,            0.026883,             0.00802,             0.00802,             0.00802
                   7,            0.044008,            0.038877,            0.033638,             0.88674,             0.67558,             0.68661,             0.37859,             0.04153,            0.022763,            0.018788,            0.007624,            0.007624,            0.007624
                   8,            0.042581,            0.038943,            0.028799,             0.93707,             0.71909,             0.75887,              0.4051,            0.040124,              0.0223,             0.01568,            0.007228,            0.007228,            0.007228
                   9,             0.04113,            0.037544,            0.026021,             0.89748,             0.72048,             0.70905,             0.40663,            0.039392,             0.02191,             0.01235,            0.006832,            0.006832,            0.006832
                  10,            0.040194,            0.037229,             0.02428,             0.92844,             0.73939,              0.7448,             0.42096,            0.038274,            0.021683,              0.0111,            0.006436,            0.006436,            0.006436
                  11,            0.038908,            0.036913,            0.022689,              0.9163,             0.72447,             0.71329,             0.41323,            0.038525,            0.021884,            0.010233,             0.00604,             0.00604,             0.00604
                  12,            0.038259,            0.036276,            0.021616,              0.9554,             0.76456,             0.77251,             0.43765,             0.03712,            0.021378,           0.0097217,            0.005644,            0.005644,            0.005644
                  13,            0.037577,            0.035751,            0.020481,             0.93893,             0.76571,             0.75467,             0.44893,            0.036105,            0.021021,           0.0086358,            0.005248,            0.005248,            0.005248
                  14,            0.036832,             0.03525,            0.020273,             0.93448,             0.75805,             0.74517,             0.44097,            0.036314,            0.021132,           0.0085666,            0.004852,            0.004852,            0.004852
                  15,            0.036098,            0.035165,            0.019094,             0.93194,               0.759,             0.73855,             0.44064,            0.036312,            0.020824,           0.0082799,            0.004456,            0.004456,            0.004456
                  16,            0.035236,            0.034597,            0.018712,              0.9326,             0.75666,             0.73853,             0.44872,            0.035636,            0.020926,           0.0078953,             0.00406,             0.00406,             0.00406
                  17,            0.034994,            0.034185,            0.018448,             0.93562,             0.76357,               0.746,             0.45495,            0.035304,            0.020768,           0.0075939,            0.003664,            0.003664,            0.003664
                  18,            0.034263,             0.03382,             0.01731,             0.94044,             0.76271,             0.74985,             0.45251,            0.035153,            0.020619,           0.0077336,            0.003268,            0.003268,            0.003268
                  19,            0.033733,            0.033995,            0.017081,             0.94288,              0.7682,             0.75521,             0.46336,            0.034349,            0.020401,           0.0074147,            0.002872,            0.002872,            0.002872
                  20,            0.033185,            0.033443,            0.016855,             0.94447,              0.7661,             0.75148,             0.46484,            0.034802,            0.020662,            0.007212,            0.002476,            0.002476,            0.002476
                  21,            0.032535,            0.032813,            0.016421,             0.93682,             0.76488,             0.76157,             0.46911,            0.034375,              0.0206,            0.007176,             0.00208,             0.00208,             0.00208
                  22,            0.032264,            0.032623,            0.015879,             0.93891,             0.76283,             0.75799,             0.46935,            0.034146,            0.020362,           0.0069652,            0.001684,            0.001684,            0.001684
                  23,            0.032232,             0.03268,            0.015986,             0.94813,             0.77152,             0.76898,             0.47502,            0.033714,            0.020119,           0.0069338,            0.001288,            0.001288,            0.001288
                  24,             0.03197,            0.032256,            0.015721,              0.9394,             0.76791,             0.76596,             0.47955,            0.033576,             0.02016,           0.0067883,            0.000892,            0.000892,            0.000892
